n_arms,fmm_order,qbx_order,err_l2,err_linf
5,7,3,3.16408564273589304e-06,2.31918710115345098e-05
5,15,7,7.07661279009655374e-09,2.62379321580042044e-07
15,7,3,3.14146962432436009e-06,7.41959877709240319e-05
15,15,7,3.71767465488791244e-08,8.88365957714768652e-07
25,7,3,3.50026451105092604e-06,1.11055335839663411e-04
25,15,7,1.26565787373542289e-07,5.17600978237190950e-06
35,7,3,2.29867820263383733e-06,8.24200802751961045e-05
35,15,7,3.96749252202983229e-07,1.08401453545893399e-05
45,7,3,2.30680604779214786e-06,2.47510029386670445e-05
45,15,7,1.22987336241199225e-08,1.28631501604793817e-06
55,7,3,2.30332717842497692e-06,2.96215377248420771e-05
55,15,7,1.79486292872729065e-08,2.25537979728336039e-06
65,7,3,2.27654522114949005e-06,2.72528218407565569e-05
65,15,7,1.01629779294868772e-09,1.04569394115054022e-07
