n_arms,nparticles,fmm_order,qbx_order,form_multipoles,coarsen_multipoles,eval_direct_list1,eval_direct_list3,eval_direct_list4,multipole_to_local,eval_multipoles,form_locals,refine_locals,eval_locals,form_global_qbx_locals_list1,form_global_qbx_locals_list3,form_global_qbx_locals_list4,translate_box_multipoles_to_qbx_local,translate_box_local_to_qbx_local,eval_qbx_expansions
5,17430,15,3,146025,114750,0,0,0,841500,0,312150,118800,0,1561743,0,0,165420,115425,7695
15,93870,15,3,794475,572175,0,0,0,6131250,0,1679040,576675,0,10444698,0,0,1041570,613575,40905
25,218100,15,3,1843875,1313550,0,0,0,15333300,0,3662880,1318050,0,25277229,0,0,1611765,1423125,95175
35,458430,15,3,3828825,2678850,0,0,0,32962500,0,6897825,2683350,0,53841798,0,0,3889800,3044475,203175
45,705510,15,3,5880600,4076325,0,0,0,51566850,0,10259955,4080825,0,85149975,0,0,4386105,4702050,313470
55,994950,15,3,8330850,5859000,0,0,0,74820150,0,14850600,5863500,0,116776809,0,0,6088500,6593400,439560
65,1421160,15,3,11840400,8346375,0,0,0,108583200,0,20695125,8350875,0,168664902,0,0,8648595,9477000,631800
5,17430,30,7,292050,459000,0,0,0,3366000,0,624300,475200,0,3644067,0,0,771960,538650,17955
15,93870,30,7,1588950,2288700,0,0,0,24525000,0,3358080,2306700,0,24370962,0,0,4860660,2863350,95445
25,218100,30,7,3687750,5254200,0,0,0,61333200,0,7325760,5272200,0,58980201,0,0,7521570,6641250,222075
35,458430,30,7,7657650,10715400,0,0,0,131850000,0,13795650,10733400,0,125630862,0,0,18152400,14207550,474075
45,705510,30,7,11761200,16305300,0,0,0,206267400,0,20519910,16323300,0,198683275,0,0,20468490,21942900,731430
55,994950,30,7,16661700,23436000,0,0,0,299280600,0,29701200,23454000,0,272479221,0,0,28413000,30769200,1025640
65,1421160,30,7,23680800,33385500,0,0,0,434332800,0,41390250,33403500,0,393551438,0,0,40360110,44226000,1474200
