n_arms,fmm_order,qbx_order,err_l2,err_linf
65,inf,3,4.59113536714875957e-08,4.34705055965332093e-06
65,inf,5,4.71136010098591304e-09,6.20825061627024727e-07
65,inf,7,8.37443188005614395e-10,1.04601432806542354e-07
65,inf,9,9.73168687405631158e-10,5.70720406675270675e-08
65,3,3,8.21129405757769050e-04,4.19113477812379370e-03
65,3,5,8.26727128176104470e-04,4.20574745250519577e-03
65,3,7,8.26350816732060239e-04,4.20564082739808762e-03
65,3,9,8.26360475656054850e-04,4.20579278334808938e-03
65,5,3,3.98904995617555753e-05,2.79055444703127950e-04
65,5,5,4.12430288106321210e-05,3.42391548999040668e-04
65,5,7,4.13505770631657479e-05,3.43257432801103736e-04
65,5,9,4.13354306580207429e-05,3.43352664032229270e-04
65,10,3,6.78065866676845601e-08,4.35045948183847789e-06
65,10,5,9.01678631392700140e-08,1.35864318613861034e-06
65,10,7,9.94682060484208838e-08,1.71089641731603543e-06
65,10,9,1.00814865246945501e-07,1.75620556640835256e-06
65,15,3,4.59114437764467194e-08,4.34704969511909581e-06
65,15,5,4.72368923163383012e-09,6.20832697417688858e-07
65,15,7,1.01629779294868772e-09,1.04569394115054022e-07
65,15,9,1.17681366299248981e-09,5.73933835432184115e-08
65,20,3,4.59113538280229703e-08,4.34705055961353494e-06
65,20,5,4.71136039044012299e-09,6.20825059518404709e-07
65,20,7,8.37453032718130477e-10,1.04601459383112190e-07
65,20,9,9.73190287621213719e-10,5.70720399116066684e-08
