n_arms,fmm_order,qbx_order,err_l2,err_linf
65,inf,3,4.59113536714222484e-08,4.34705055965332093e-06
65,inf,5,4.71136010100481412e-09,6.20825061627024727e-07
65,inf,7,8.37443188004148218e-10,1.04601432806542354e-07
65,inf,9,9.73168687431903862e-10,5.70720406675270675e-08
65,3,3,4.80713495283649657e-03,2.54644727243210703e-02
65,3,5,4.85134195763863105e-03,2.96394116668970836e-02
65,3,7,4.84387079826847401e-03,4.07407770959306997e-02
65,3,9,4.84261718777326353e-03,5.76605951738639322e-02
65,5,3,7.15805541287212774e-04,6.94292676011748749e-03
65,5,5,8.51281932434303445e-04,1.61379646152510388e-02
65,5,7,8.56013742226161586e-04,2.28961117362405688e-02
65,5,9,8.55479149492874270e-04,3.10283002433890572e-02
65,10,3,1.79346599088182010e-05,4.95220004883548852e-04
65,10,5,6.76683671067298517e-05,1.74941060497199900e-03
65,10,7,1.47766240763963719e-04,5.80340956860468053e-03
65,10,9,1.92615660084714818e-04,9.47924123597666118e-03
65,15,3,5.32524902438413031e-07,1.58235813023070144e-05
65,15,5,4.60704154852951465e-06,1.84576435072930092e-04
65,15,7,2.01567379177270633e-05,6.40233079546371044e-04
65,15,9,4.41956158824225549e-05,3.17147831102045780e-03
65,20,3,4.78194059589827306e-08,4.34674955406004977e-06
65,20,5,2.73039197067101382e-07,1.31448451908138527e-05
65,20,7,1.40629980406675733e-06,8.99348387834790578e-05
65,20,9,1.01364147835001077e-05,5.01200524566974533e-04
