n_arms,fmm_order,qbx_order,time
5,7,3,4.57205247133970261e-01
5,7,3,4.78840261697769165e-01
5,7,3,4.69985492527484894e-01
5,15,7,4.97365161776542664e-01
5,15,7,4.45179648697376251e-01
5,15,7,5.37747994065284729e-01
15,7,3,2.38310872763395309e+00
15,7,3,2.44671706482768059e+00
15,7,3,2.42289485782384872e+00
15,15,7,2.94780191034078598e+00
15,15,7,2.91647800058126450e+00
15,15,7,2.89275951683521271e+00
25,7,3,5.87140511348843575e+00
25,7,3,5.76921945810317993e+00
25,7,3,5.82085462287068367e+00
25,15,7,7.16992457956075668e+00
25,15,7,7.09853297472000122e+00
25,15,7,7.12340989336371422e+00
35,7,3,1.31659174822270870e+01
35,7,3,1.31429191082715988e+01
35,7,3,1.31756987161934376e+01
35,15,7,1.59475698806345463e+01
35,15,7,1.57355686686933041e+01
35,15,7,1.57571028843522072e+01
45,7,3,2.02059770934283733e+01
45,7,3,2.02810732126235962e+01
45,7,3,2.00772990547120571e+01
45,15,7,2.46805619113147259e+01
45,15,7,2.43891762867569923e+01
45,15,7,2.42812276855111122e+01
55,7,3,2.95860557965934277e+01
55,7,3,2.91493542306125164e+01
55,7,3,2.93935848362743855e+01
55,15,7,3.55627440884709358e+01
55,15,7,3.50020008757710457e+01
55,15,7,3.53699190616607666e+01
65,7,3,4.26272275410592556e+01
65,7,3,4.18208536133170128e+01
65,7,3,4.23897752724587917e+01
65,15,7,5.08426971733570099e+01
65,15,7,5.11536212414503098e+01
65,15,7,5.10360902324318886e+01
