n_arms,fmm_order,qbx_order,err_l2,err_linf
5,10,3,2.97597228467060256e-06,2.28207081437702311e-05
5,15,7,7.07661279010756682e-09,2.62379321580042044e-07
15,10,3,2.76179332065412361e-06,7.38161807922275152e-05
15,15,7,3.71767465488307972e-08,8.88365957714768652e-07
25,10,3,2.70738090016810329e-06,1.11050698207702174e-04
25,15,7,1.26565787373479423e-07,5.17600978233212182e-06
35,10,3,1.21753116078017065e-06,8.20913378057453689e-05
35,15,7,3.96749252202949295e-07,1.08401453545893399e-05
45,10,3,3.45045934710714433e-07,2.48316870909745768e-05
45,15,7,1.22987336241095166e-08,1.28631501604793817e-06
55,10,3,2.83855019671177405e-07,2.92888726819671511e-05
55,15,7,1.79486292872769365e-08,2.25537979728336039e-06
65,10,3,6.78065866675041685e-08,4.35045948183847789e-06
65,15,7,1.01629779302862563e-09,1.04569394115054022e-07
