n_arms,fmm_order,qbx_order,err_l2,err_linf
25,3,3,-1,2.784340e-03
25,3,5,-1,2.858021e-03
25,3,7,-1,2.837286e-03
25,3,9,-1,2.838429e-03
25,5,3,-1,2.718993e-04
25,5,5,-1,4.867254e-04
25,5,7,-1,4.674446e-04
25,5,9,-1,4.662571e-04
25,10,3,-1,8.263529e-05
25,10,5,-1,1.878212e-05
25,10,7,-1,5.828104e-06
25,10,9,-1,5.095243e-06
25,15,3,-1,8.262717e-05
25,15,5,-1,1.877618e-05
25,15,7,-1,5.114123e-06
25,15,9,-1,2.069277e-06
25,20,3,-1,8.262718e-05
25,20,5,-1,1.877618e-05
25,20,7,-1,5.114126e-06
25,20,9,-1,2.069277e-06
