fmm_order,qbx_order,err_l2,err_linf,gmres_nit
3,3,-1,5.327823e-03,195
3,5,-1,4.862228e-03,208
3,7,-1,4.870059e-03,206
3,9,-1,4.874306e-03,207
5,3,-1,2.567355e-03,189
5,5,-1,2.322085e-04,188
5,7,-1,3.130553e-04,180
5,9,-1,3.016992e-04,182
10,3,-1,2.740475e-03,192
10,5,-1,5.450922e-05,184
10,7,-1,1.578803e-05,179
10,9,-1,2.700679e-06,183
15,3,-1,2.740293e-03,192
15,5,-1,5.460141e-05,184
15,7,-1,1.530966e-05,179
15,9,-1,9.336027e-07,183
20,3,-1,2.740293e-03,192
20,5,-1,5.460216e-05,184
20,7,-1,1.530963e-05,179
20,9,-1,9.259578e-07,183
