n_arms,fmm_order,qbx_order,err_l2,err_linf
65,inf,3,-1,4.347051e-06
65,inf,5,-1,6.208251e-07
65,inf,7,-1,1.046014e-07
65,inf,9,-1,5.707204e-08
65,3,3,-1,5.161134e-03
65,3,5,-1,6.348744e-03
65,3,7,-1,6.334309e-03
65,3,9,-1,6.339144e-03
65,5,3,-1,3.833444e-04
65,5,5,-1,5.953947e-04
65,5,7,-1,5.951707e-04
65,5,9,-1,5.928302e-04
65,10,3,-1,4.350562e-06
65,10,5,-1,4.818136e-06
65,10,7,-1,6.943738e-06
65,10,9,-1,9.296732e-06
65,15,3,-1,4.347050e-06
65,15,5,-1,6.208327e-07
65,15,7,-1,1.045694e-07
65,15,9,-1,1.758935e-07
65,20,3,-1,4.347051e-06
65,20,5,-1,6.208251e-07
65,20,7,-1,1.046015e-07
65,20,9,-1,5.707204e-08
